timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-27,3.27e-06,3.29e-06,3.11e-06,3.27e-06,112772415.0,1738022399999,361.075884,26930,56375780.0,180.67151154,0
2025-01-28,3.27e-06,3.31e-06,3.13e-06,3.15e-06,52798196.0,1738108799999,170.50789081,16348,27084195.0,87.56219283,0
2025-01-29,3.14e-06,3.24e-06,3.12e-06,3.13e-06,30729130.0,1738195199999,97.67794363,10638,13693914.0,43.53055602,0
2025-01-30,3.13e-06,3.2e-06,3.11e-06,3.16e-06,20652202.0,1738281599999,65.3805523,6487,10282528.0,32.57857647,0
2025-01-31,3.16e-06,3.24e-06,3.13e-06,3.21e-06,34244840.0,1738367999999,109.30710037,10851,16492782.0,52.71165143,0
2025-02-01,3.21e-06,3.24e-06,3.02e-06,3.06e-06,41483169.0,1738454399999,129.49952307,15296,19738655.0,61.61237114,0
2025-02-02,3.06e-06,3.11e-06,2.6e-06,2.74e-06,264451927.0,1738540799999,751.89051187,81805,120938792.0,343.90019614,0
2025-02-03,2.74e-06,2.87e-06,2.22e-06,2.82e-06,720909723.0,1738627199999,1859.92377909,181597,353027381.0,910.82540378,0
2025-02-04,2.81e-06,2.85e-06,2.59e-06,2.7e-06,141777932.0,1738713599999,382.95504407,57632,65329135.0,176.49153003,0
2025-02-05,2.69e-06,2.74e-06,2.61e-06,2.65e-06,54797099.0,1738799999999,146.42591903,23472,24793046.0,66.34451963,0
2025-02-06,2.66e-06,2.7e-06,2.53e-06,2.57e-06,65006843.0,1738886399999,169.25400808,22728,27800164.0,72.41594378,0
2025-02-07,2.56e-06,2.63e-06,2.49e-06,2.56e-06,49400808.0,1738972799999,127.07105184,24753,24923300.0,64.15918239,0
2025-02-08,2.55e-06,2.64e-06,2.55e-06,2.62e-06,20392649.0,1739059199999,52.72760936,11863,9609829.0,24.85529503,0
2025-02-09,2.62e-06,2.68e-06,2.52e-06,2.58e-06,38305740.0,1739145599999,99.94239616,14804,16504411.0,43.15400331,0
2025-02-10,2.58e-06,2.63e-06,2.52e-06,2.62e-06,34119377.0,1739231999999,87.90942986,15966,14463945.0,37.30280472,0
2025-02-11,2.62e-06,2.74e-06,2.61e-06,2.64e-06,34677864.0,1739318399999,92.71260292,22459,16961687.0,45.37549858,0
2025-02-12,2.64e-06,2.73e-06,2.61e-06,2.69e-06,53298537.0,1739404799999,141.95093957,26708,28927371.0,77.04307958,0
